id,name,category,uses_english,uses_marathi,uses_hindi,advantages_english,advantages_marathi,advantages_hindi,disadvantages_english,disadvantages_marathi,disadvantages_hindi,precautions_english,precautions_marathi,precautions_hindi,dosage_english,dosage_marathi,dosage_hindi
30,Ciprofloxacin (Cipro),Antibiotics,Treatment of various conditions related to antibiotics,antibiotics संबंधित विविध परिस्थितींचे उपचार,antibiotics से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for antibiotics conditions with proven clinical benefits,antibiotics परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,antibiotics स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
31,Levofloxacin (Levaquin),Antibiotics,Treatment of various conditions related to antibiotics,antibiotics संबंधित विविध परिस्थितींचे उपचार,antibiotics से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for antibiotics conditions with proven clinical benefits,antibiotics परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,antibiotics स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
32,Doxycycline (Vibramycin),Antibiotics,Treatment of various conditions related to antibiotics,antibiotics संबंधित विविध परिस्थितींचे उपचार,antibiotics से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for antibiotics conditions with proven clinical benefits,antibiotics परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,antibiotics स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
33,Clindamycin (Cleocin),Antibiotics,Treatment of various conditions related to antibiotics,antibiotics संबंधित विविध परिस्थितींचे उपचार,antibiotics से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for antibiotics conditions with proven clinical benefits,antibiotics परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,antibiotics स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
34,Metronidazole (Flagyl),Antibiotics,Treatment of various conditions related to antibiotics,antibiotics संबंधित विविध परिस्थितींचे उपचार,antibiotics से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for antibiotics conditions with proven clinical benefits,antibiotics परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,antibiotics स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
35,Sulfamethoxazole/Trimethoprim (Bactrim),Antibiotics,Treatment of various conditions related to antibiotics,antibiotics संबंधित विविध परिस्थितींचे उपचार,antibiotics से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for antibiotics conditions with proven clinical benefits,antibiotics परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,antibiotics स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
36,Nitrofurantoin (Macrobid),Antibiotics,Treatment of various conditions related to antibiotics,antibiotics संबंधित विविध परिस्थितींचे उपचार,antibiotics से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for antibiotics conditions with proven clinical benefits,antibiotics परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,antibiotics स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
37,Metformin (Glucophage),Diabetes,Treatment of various conditions related to diabetes,diabetes संबंधित विविध परिस्थितींचे उपचार,diabetes से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for diabetes conditions with proven clinical benefits,diabetes परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,diabetes स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
38,Glipizide (Glucotrol),Diabetes,Treatment of various conditions related to diabetes,diabetes संबंधित विविध परिस्थितींचे उपचार,diabetes से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for diabetes conditions with proven clinical benefits,diabetes परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,diabetes स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
39,Glyburide (Diabeta),Diabetes,Treatment of various conditions related to diabetes,diabetes संबंधित विविध परिस्थितींचे उपचार,diabetes से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for diabetes conditions with proven clinical benefits,diabetes परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,diabetes स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
40,Pioglitazone (Actos),Diabetes,Treatment of various conditions related to diabetes,diabetes संबंधित विविध परिस्थितींचे उपचार,diabetes से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for diabetes conditions with proven clinical benefits,diabetes परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,diabetes स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
41,Sitagliptin (Januvia),Diabetes,Treatment of various conditions related to diabetes,diabetes संबंधित विविध परिस्थितींचे उपचार,diabetes से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for diabetes conditions with proven clinical benefits,diabetes परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,diabetes स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
42,Empagliflozin (Jardiance),Diabetes,Treatment of various conditions related to diabetes,diabetes संबंधित विविध परिस्थितींचे उपचार,diabetes से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for diabetes conditions with proven clinical benefits,diabetes परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,diabetes स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
43,Dapagliflozin (Farxiga),Diabetes,Treatment of various conditions related to diabetes,diabetes संबंधित विविध परिस्थितींचे उपचार,diabetes से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for diabetes conditions with proven clinical benefits,diabetes परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,diabetes स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
44,Liraglutide (Victoza),Diabetes,Treatment of various conditions related to diabetes,diabetes संबंधित विविध परिस्थितींचे उपचार,diabetes से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for diabetes conditions with proven clinical benefits,diabetes परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,diabetes स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
45,"Semaglutide (Ozempic, Rybelsus)",Diabetes,Treatment of various conditions related to diabetes,diabetes संबंधित विविध परिस्थितींचे उपचार,diabetes से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for diabetes conditions with proven clinical benefits,diabetes परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,diabetes स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
46,Dulaglutide (Trulicity),Diabetes,Treatment of various conditions related to diabetes,diabetes संबंधित विविध परिस्थितींचे उपचार,diabetes से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for diabetes conditions with proven clinical benefits,diabetes परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,diabetes स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
47,"Insulin Glargine (Lantus, Basaglar)",Diabetes,Treatment of various conditions related to diabetes,diabetes संबंधित विविध परिस्थितींचे उपचार,diabetes से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for diabetes conditions with proven clinical benefits,diabetes परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,diabetes स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
48,Insulin Lispro (Humalog),Diabetes,Treatment of various conditions related to diabetes,diabetes संबंधित विविध परिस्थितींचे उपचार,diabetes से संबंधित विभिन्न स्थितियों का उपचार,Effective treatment for diabetes conditions with proven clinical benefits,diabetes परिस्थितींसाठी प्रभावी उपचार सिद्ध वैद्यकीय फायद्यांसह,diabetes स्थितियों के लिए प्रभावी उपचार सिद्ध चिकित्सा लाभ के साथ,"May cause side effects, drug interactions possible, individual tolerance varies","दुष्परिणाम होऊ शकतात, औषध परस्परसंवाद शक्य, वैयक्तिक सहनशीलता बदलते","साइड इफेक्ट्स हो सकते हैं, दवा इंटरेक्शन संभव, व्यक्तिगत सहनशीलता अलग होती है","Consult doctor before use, follow prescribed dosage, monitor for adverse reactions","वापरण्यापूर्वी डॉक्टरांचा सल्ला घ्या, निर्धारित डोस फॉलो करा, प्रतिकूल प्रतिक्रियांकरिता निरीक्षण करा","उपयोग से पहले डॉक्टर से सलाह लें, निर्धारित खुराक का पालन करें, प्रतिकूल प्रतिक्रियाओं के लिए निगरानी करें","As prescribed by healthcare provider, varies by age, weight, and condition severity","आरोग्य सेवा प्रदात्याने निर्धारित केल्यानुसार, वय, वजन आणि स्थितीच्या गंभीरतेनुसार बदलते","स्वास्थ्य सेवा प्रदाता द्वारा निर्धारित अनुसार, उम्र, वजन और स्थिति की गंभीरता के अनुसार अलग होती है"
